elapsedTimeHour,elapsedTimeSec,vaisalaRH,vaisalaTemperature,vaisalaPW
0.356944,1284.9984,26.64,20.25,0.092
0.358333,1289.9988,26.63,20.25,0.092
0.359722,1294.9992,26.63,20.25,0.092
0.361111,1299.9996,26.63,20.25,0.092
0.3625,1305,26.63,20.25,0.092
0.363889,1310.0004,26.63,20.24,0.092
0.365278,1315.0008,26.64,20.24,0.092
0.366667,1320.0012,26.64,20.24,0.092
0.368056,1325.0016,26.64,20.24,0.092
0.369444,1329.9984,26.64,20.24,0.092
0.370833,1334.9988,26.65,20.24,0.092
0.372222,1339.9992,26.65,20.24,0.092
0.373611,1344.9996,26.66,20.24,0.092
0.375,1350,26.66,20.24,0.092
0.376389,1355.0004,26.66,20.24,0.092
0.377778,1360.0008,26.66,20.24,0.092
0.379167,1365.0012,26.67,20.24,0.092
0.380556,1370.0016,26.67,20.24,0.092
0.381944,1374.9984,26.66,20.24,0.092
0.383333,1379.9988,26.66,20.24,0.092
0.384722,1384.9992,26.66,20.24,0.092
0.386111,1389.9996,26.66,20.24,0.092
0.3875,1395,26.66,20.24,0.092
0.388889,1400.0004,26.66,20.23,0.092
0.390278,1405.0008,26.66,20.23,0.092
0.391667,1410.0012,26.66,20.23,0.092
0.393056,1415.0016,26.66,20.23,0.092
0.394444,1419.9984,26.66,20.23,0.092
0.395833,1424.9988,26.66,20.23,0.092
0.397222,1429.9992,26.66,20.23,0.092
0.398611,1434.9996,26.67,20.23,0.092
0.4,1440,26.67,20.23,0.092
0.401389,1445.0004,26.66,20.23,0.092
0.402778,1450.0008,26.66,20.23,0.092
0.404167,1455.0012,26.66,20.23,0.092
0.405556,1460.0016,26.65,20.23,0.092
0.406944,1464.9984,26.65,20.23,0.092
0.408333,1469.9988,26.65,20.22,0.092
0.409722,1474.9992,26.66,20.22,0.092
0.411111,1479.9996,26.66,20.22,0.092
0.4125,1485,26.67,20.22,0.092
0.413889,1490.0004,26.67,20.22,0.092
0.415278,1495.0008,26.67,20.22,0.092
0.416667,1500.0012,26.68,20.22,0.092
0.418056,1505.0016,26.68,20.22,0.092
0.419444,1509.9984,26.68,20.22,0.092
0.420833,1514.9988,26.68,20.22,0.092
0.422222,1519.9992,26.69,20.22,0.092
0.423611,1524.9996,26.69,20.22,0.092
0.425,1530,26.68,20.22,0.092
0.426389,1535.0004,26.67,20.22,0.092
0.427778,1540.0008,26.68,20.22,0.092
0.429167,1545.0012,26.68,20.21,0.092
0.430556,1550.0016,26.68,20.22,0.092
0.431944,1554.9984,26.69,20.22,0.092
0.433333,1559.9988,26.69,20.22,0.092
0.434722,1564.9992,26.69,20.22,0.092
0.436111,1569.9996,26.69,20.22,0.092
0.4375,1575,26.7,20.22,0.092
0.438889,1580.0004,26.7,20.22,0.092
0.440278,1585.0008,26.7,20.21,0.092
0.441667,1590.0012,26.69,20.21,0.092
0.443056,1595.0016,26.69,20.21,0.092
0.444444,1599.9984,26.7,20.21,0.092
0.445833,1604.9988,26.7,20.21,0.092
0.447222,1609.9992,26.7,20.21,0.092
0.448611,1614.9996,26.7,20.21,0.092
0.45,1620,26.7,20.21,0.092
0.451389,1625.0004,26.7,20.21,0.092
0.452778,1630.0008,26.7,20.21,0.092
0.454167,1635.0012,26.71,20.21,0.092
0.455556,1640.0016,26.71,20.21,0.092
0.456944,1644.9984,26.71,20.21,0.092
0.458333,1649.9988,26.72,20.21,0.092
0.459722,1654.9992,26.72,20.21,0.092
0.461111,1659.9996,26.72,20.21,0.092
0.4625,1665,26.72,20.21,0.092
0.463889,1670.0004,26.71,20.21,0.092
0.465278,1675.0008,26.71,20.21,0.092
0.466667,1680.0012,26.71,20.21,0.092
0.468056,1685.0016,26.73,20.21,0.092
0.469444,1689.9984,26.73,20.2,0.092
0.470833,1694.9988,26.72,20.21,0.092
0.472222,1699.9992,26.72,20.21,0.092
0.473611,1704.9996,26.72,20.21,0.092
0.475,1710,26.73,20.21,0.092
0.476389,1715.0004,26.73,20.2,0.092
0.477778,1720.0008,26.74,20.21,0.092
0.479167,1725.0012,26.74,20.21,0.092
0.480556,1730.0016,26.74,20.21,0.092
0.481944,1734.9984,26.74,20.21,0.092
0.483333,1739.9988,26.74,20.21,0.092
0.484722,1744.9992,26.73,20.2,0.092
0.486111,1749.9996,26.73,20.2,0.092
0.4875,1755,26.72,20.2,0.092
0.488889,1760.0004,26.72,20.2,0.092
0.490278,1765.0008,26.72,20.2,0.092
0.491667,1770.0012,26.72,20.21,0.092
0.493056,1775.0016,26.74,20.21,0.092
0.494444,1779.9984,26.74,20.21,0.092
0.495833,1784.9988,26.73,20.21,0.092
0.497222,1789.9992,26.73,20.21,0.092
0.498611,1794.9996,26.73,20.2,0.092
0.5,1800,26.73,20.2,0.092
0.501389,1805.0004,26.73,20.2,0.092
0.502778,1810.0008,26.72,20.2,0.092
0.504167,1815.0012,26.72,20.2,0.092
0.505556,1820.0016,26.72,20.2,0.092
0.506944,1824.9984,26.73,20.2,0.092
0.508333,1829.9988,26.72,20.2,0.092
0.509722,1834.9992,26.72,20.2,0.092
0.511111,1839.9996,26.72,20.2,0.092
0.5125,1845,26.72,20.2,0.092
0.513889,1850.0004,26.72,20.2,0.092
0.515278,1855.0008,26.71,20.2,0.092
0.516667,1860.0012,26.71,20.2,0.092
0.518056,1865.0016,26.71,20.2,0.092
0.519444,1869.9984,26.7,20.2,0.092
0.520833,1874.9988,26.7,20.2,0.092
0.522222,1879.9992,26.7,20.2,0.092
0.523611,1884.9996,26.71,20.2,0.092
0.525,1890,26.7,20.2,0.092
0.526389,1895.0004,26.71,20.2,0.092
0.527778,1900.0008,26.71,20.2,0.092
0.529167,1905.0012,26.7,20.2,0.092
0.530556,1910.0016,26.7,20.2,0.092
0.531944,1914.9984,26.71,20.2,0.092
0.533333,1919.9988,26.71,20.2,0.092
0.534722,1924.9992,26.71,20.2,0.092
0.536111,1929.9996,26.71,20.2,0.092
0.5375,1935,26.7,20.19,0.092
0.538889,1940.0004,26.71,20.19,0.092
0.540278,1945.0008,26.71,20.19,0.092
0.541667,1950.0012,26.71,20.2,0.092
0.543056,1955.0016,26.71,20.2,0.092
0.544444,1959.9984,26.71,20.2,0.092
0.545833,1964.9988,26.71,20.2,0.092
0.547222,1969.9992,26.71,20.2,0.092
0.548611,1974.9996,26.71,20.2,0.092
0.55,1980,26.71,20.2,0.092
0.551389,1985.0004,26.71,20.19,0.092
0.552778,1990.0008,26.7,20.19,0.092
0.554167,1995.0012,26.7,20.2,0.092
0.555556,2000.0016,26.7,20.2,0.092
0.556944,2004.9984,26.7,20.19,0.092
0.558333,2009.9988,26.7,20.19,0.092
0.559722,2014.9992,26.7,20.19,0.092
0.561111,2019.9996,26.7,20.19,0.092
0.5625,2025,26.7,20.19,0.092
0.563889,2030.0004,26.69,20.19,0.092
0.565278,2035.0008,26.69,20.19,0.092
0.566667,2040.0012,26.68,20.19,0.092
0.568056,2045.0016,26.68,20.19,0.092
0.569444,2049.9984,26.68,20.19,0.092
0.570833,2054.9988,26.69,20.19,0.092
0.572222,2059.9992,26.69,20.19,0.092
0.573611,2064.9996,26.69,20.19,0.092
0.575,2070,26.69,20.19,0.092
0.576389,2075.0004,26.66,20.19,0.092
0.577778,2080.0008,26.51,20.19,0.091
0.579167,2085.0012,26.47,20.19,0.091
0.580556,2090.0016,26.48,20.19,0.091
0.581944,2094.9984,26.51,20.19,0.091
0.583333,2099.9988,26.56,20.19,0.091
0.584722,2104.9992,26.6,20.19,0.091
0.586111,2109.9996,26.62,20.19,0.091
0.5875,2115,26.65,20.19,0.091
0.588889,2120.0004,26.67,20.18,0.091
0.590278,2125.0008,26.68,20.19,0.092
0.591667,2130.0012,26.69,20.18,0.092
0.593056,2135.0016,26.7,20.19,0.092
0.594444,2139.9984,26.71,20.19,0.092
0.595833,2144.9988,26.72,20.18,0.092
0.597222,2149.9992,26.72,20.18,0.092
0.598611,2154.9996,26.71,20.18,0.092
0.6,2160,26.71,20.18,0.092
0.601389,2165.0004,26.72,20.19,0.092
0.602778,2170.0008,26.72,20.19,0.092
0.604167,2175.0012,26.72,20.18,0.092
0.605556,2180.0016,26.71,20.18,0.092
0.606944,2184.9984,26.71,20.18,0.092
0.608333,2189.9988,26.71,20.18,0.092
0.609722,2194.9992,26.71,20.18,0.092
0.611111,2199.9996,26.71,20.18,0.092
0.6125,2205,26.72,20.18,0.092
0.613889,2210.0004,26.72,20.18,0.092
0.615278,2215.0008,26.72,20.19,0.092
0.616667,2220.0012,26.72,20.18,0.092
0.618056,2225.0016,26.72,20.18,0.092
0.619444,2229.9984,26.72,20.18,0.092
0.620833,2234.9988,26.73,20.18,0.092
0.622222,2239.9992,26.73,20.18,0.092
0.623611,2244.9996,26.72,20.18,0.092
0.625,2250,26.72,20.18,0.092
0.626389,2255.0004,26.72,20.18,0.092
0.627778,2260.0008,26.72,20.18,0.092
0.629167,2265.0012,26.72,20.18,0.092
0.630556,2270.0016,26.72,20.18,0.092
0.631944,2274.9984,26.72,20.18,0.092
0.633333,2279.9988,26.72,20.18,0.092
0.634722,2284.9992,26.72,20.18,0.092
0.636111,2289.9996,26.73,20.18,0.092
0.6375,2295,26.73,20.18,0.092
0.638889,2300.0004,26.73,20.18,0.092
0.640278,2305.0008,26.73,20.18,0.092
0.641667,2310.0012,26.74,20.18,0.092
0.643056,2315.0016,26.74,20.18,0.092
0.644444,2319.9984,26.73,20.18,0.092
0.645833,2324.9988,26.73,20.18,0.092
0.647222,2329.9992,26.73,20.18,0.092
0.648611,2334.9996,26.73,20.18,0.092
0.65,2340,26.73,20.18,0.092
0.651389,2345.0004,26.73,20.18,0.092
0.652778,2350.0008,26.73,20.18,0.092
0.654167,2355.0012,26.73,20.18,0.092
0.655556,2360.0016,26.72,20.18,0.092
0.656944,2364.9984,26.73,20.18,0.092
0.658333,2369.9988,26.73,20.18,0.092
0.659722,2374.9992,26.73,20.18,0.092
0.661111,2379.9996,26.72,20.18,0.092
0.6625,2385,26.72,20.17,0.092
0.663889,2390.0004,26.72,20.18,0.092
0.665278,2395.0008,26.71,20.18,0.092
0.666667,2400.0012,26.71,20.18,0.092
0.668056,2405.0016,26.72,20.18,0.092
0.669444,2409.9984,26.72,20.18,0.092
0.670833,2414.9988,26.72,20.18,0.092
0.672222,2419.9992,26.73,20.18,0.092
0.673611,2424.9996,26.73,20.18,0.092
0.675,2430,26.73,20.18,0.092
0.676389,2435.0004,26.73,20.19,0.092
0.677778,2440.0008,26.72,20.18,0.092
0.679167,2445.0012,26.72,20.18,0.092
0.680556,2450.0016,26.72,20.18,0.092
0.681944,2454.9984,26.72,20.18,0.092
0.683333,2459.9988,26.73,20.18,0.092
0.684722,2464.9992,26.73,20.18,0.092
0.686111,2469.9996,26.74,20.17,0.092
0.6875,2475,26.74,20.17,0.092
0.688889,2480.0004,26.74,20.18,0.092
0.690278,2485.0008,26.74,20.18,0.092
0.691667,2490.0012,26.74,20.18,0.092
0.693056,2495.0016,26.75,20.18,0.092
0.694444,2499.9984,26.75,20.18,0.092
0.695833,2504.9988,26.75,20.18,0.092
0.697222,2509.9992,26.74,20.18,0.092
0.698611,2514.9996,26.74,20.18,0.092
0.7,2520,26.74,20.18,0.092
0.701389,2525.0004,26.74,20.18,0.092
0.702778,2530.0008,26.74,20.18,0.092
0.704167,2535.0012,26.74,20.17,0.092
0.705556,2540.0016,26.74,20.18,0.092
0.706944,2544.9984,26.74,20.18,0.092
0.708333,2549.9988,26.73,20.18,0.092
0.709722,2554.9992,26.72,20.18,0.092
0.711111,2559.9996,26.71,20.18,0.092
0.7125,2565,26.71,20.18,0.092
0.713889,2570.0004,26.71,20.17,0.092
0.715278,2575.0008,26.71,20.17,0.092
0.716667,2580.0012,26.71,20.18,0.092
0.718056,2585.0016,26.72,20.17,0.092
0.719444,2589.9984,26.72,20.18,0.092
0.720833,2594.9988,26.72,20.18,0.092
0.722222,2599.9992,26.72,20.18,0.092
0.723611,2604.9996,26.72,20.18,0.092
0.725,2610,26.72,20.18,0.092
0.726389,2615.0004,26.73,20.18,0.092
0.727778,2620.0008,26.73,20.18,0.092
0.729167,2625.0012,26.73,20.18,0.092
0.730556,2630.0016,26.73,20.17,0.092
0.731944,2634.9984,26.72,20.18,0.092
0.733333,2639.9988,26.72,20.18,0.092
0.734722,2644.9992,26.72,20.18,0.092
0.736111,2649.9996,26.72,20.18,0.092
0.7375,2655,26.72,20.18,0.092
0.738889,2660.0004,26.72,20.18,0.092
0.740278,2665.0008,26.72,20.17,0.092
0.741667,2670.0012,26.71,20.17,0.092
0.743056,2675.0016,26.71,20.18,0.092
0.744444,2679.9984,26.71,20.18,0.092
0.745833,2684.9988,26.72,20.17,0.092
0.747222,2689.9992,26.72,20.18,0.092
0.748611,2694.9996,26.72,20.18,0.092
0.75,2700,26.72,20.18,0.092
0.751389,2705.0004,26.72,20.18,0.092
0.752778,2710.0008,26.72,20.18,0.092
0.754167,2715.0012,26.71,20.18,0.092
0.755556,2720.0016,26.73,20.17,0.092
0.756944,2724.9984,26.73,20.17,0.092
0.758333,2729.9988,26.73,20.18,0.092
0.759722,2734.9992,26.72,20.17,0.092
0.761111,2739.9996,26.72,20.17,0.092
0.7625,2745,26.72,20.17,0.092
0.763889,2750.0004,26.72,20.17,0.092
0.765278,2755.0008,26.73,20.17,0.092
0.766667,2760.0012,26.73,20.17,0.092
0.768056,2765.0016,26.74,20.17,0.092
0.769444,2769.9984,26.74,20.17,0.092
0.770833,2774.9988,26.74,20.17,0.092
0.772222,2779.9992,26.74,20.18,0.092
0.773611,2784.9996,26.74,20.18,0.092
0.775,2790,26.74,20.18,0.092
0.776389,2795.0004,26.73,20.17,0.092
0.777778,2800.0008,26.74,20.17,0.092
0.779167,2805.0012,26.74,20.17,0.092
0.780556,2810.0016,26.74,20.17,0.092
0.781944,2814.9984,26.74,20.17,0.092
0.783333,2819.9988,26.74,20.17,0.092
0.784722,2824.9992,26.74,20.17,0.092
0.786111,2829.9996,26.74,20.17,0.092
0.7875,2835,26.74,20.17,0.092
0.788889,2840.0004,26.74,20.17,0.092
0.790278,2845.0008,26.74,20.17,0.092
0.791667,2850.0012,26.74,20.17,0.092
0.793056,2855.0016,26.74,20.17,0.092
0.794444,2859.9984,26.74,20.17,0.092
0.795833,2864.9988,26.75,20.17,0.092
0.797222,2869.9992,26.74,20.17,0.092
0.798611,2874.9996,26.74,20.17,0.092
0.8,2880,26.75,20.17,0.092
0.801389,2885.0004,26.75,20.17,0.092
0.802778,2890.0008,26.75,20.17,0.092
0.804167,2895.0012,26.74,20.18,0.092
0.805556,2900.0016,26.74,20.18,0.092
0.806944,2904.9984,26.75,20.17,0.092
0.808333,2909.9988,26.75,20.18,0.092
0.809722,2914.9992,26.75,20.17,0.092
0.811111,2919.9996,26.75,20.17,0.092
0.8125,2925,26.75,20.17,0.092
0.813889,2930.0004,26.75,20.17,0.092
0.815278,2935.0008,26.75,20.17,0.092
0.816667,2940.0012,26.75,20.17,0.092
0.818056,2945.0016,26.75,20.17,0.092
0.819444,2949.9984,26.75,20.17,0.092
0.820833,2954.9988,26.75,20.18,0.092
0.822222,2959.9992,26.75,20.17,0.092
0.823611,2964.9996,26.75,20.17,0.092
0.825,2970,26.74,20.17,0.092
0.826389,2975.0004,26.74,20.17,0.092
0.827778,2980.0008,26.73,20.17,0.092
0.829167,2985.0012,26.72,20.17,0.092
0.830556,2990.0016,26.72,20.17,0.092
0.831944,2994.9984,26.71,20.17,0.092
0.833333,2999.9988,26.71,20.18,0.092
0.834722,3004.9992,26.7,20.17,0.092
0.836111,3009.9996,26.7,20.17,0.092
0.8375,3015,26.7,20.17,0.092
0.838889,3020.0004,26.7,20.17,0.092
0.840278,3025.0008,26.69,20.17,0.092
0.841667,3030.0012,26.7,20.17,0.092
0.843056,3035.0016,26.7,20.17,0.092
0.844444,3039.9984,26.7,20.17,0.092
0.845833,3044.9988,26.69,20.17,0.091
0.847222,3049.9992,26.7,20.17,0.091
0.848611,3054.9996,26.7,20.17,0.092
0.85,3060,26.7,20.17,0.092
0.851389,3065.0004,26.7,20.17,0.092
0.852778,3070.0008,26.71,20.17,0.092
0.854167,3075.0012,26.71,20.17,0.092
0.855556,3080.0016,26.7,20.17,0.092
0.856944,3084.9984,26.7,20.17,0.092
0.858333,3089.9988,26.7,20.17,0.092
0.859722,3094.9992,26.7,20.17,0.092
0.861111,3099.9996,26.7,20.17,0.092
0.8625,3105,26.7,20.16,0.091
0.863889,3110.0004,26.71,20.17,0.092
0.865278,3115.0008,26.71,20.17,0.092
0.866667,3120.0012,26.71,20.17,0.092
0.868056,3125.0016,26.71,20.17,0.092
0.869444,3129.9984,26.72,20.17,0.092
0.870833,3134.9988,26.72,20.17,0.092
0.872222,3139.9992,26.72,20.17,0.092
0.873611,3144.9996,26.71,20.16,0.092
0.875,3150,26.71,20.17,0.092
0.876389,3155.0004,26.71,20.17,0.092
0.877778,3160.0008,26.7,20.16,0.091
0.879167,3165.0012,26.71,20.16,0.092
0.880556,3170.0016,26.71,20.16,0.092
