VaisalaTimeHours,"RH, %","T, °C","pw, psi"
0.116667,26.32,20.53,0.092
0.118056,26.32,20.52,0.092
0.119444,26.3,20.52,0.092
0.120833,26.29,20.52,0.092
0.122222,26.27,20.52,0.092
0.123611,26.26,20.52,0.092
0.125000,26.24,20.52,0.092
0.126389,26.22,20.51,0.092
0.127778,26.2,20.51,0.092
0.129167,26.18,20.51,0.092
0.130556,26.17,20.5,0.092
0.131944,26.17,20.5,0.092
0.133333,26.17,20.5,0.092
0.134722,26.17,20.5,0.092
0.136111,26.17,20.49,0.092
0.137500,26.18,20.49,0.092
0.138889,26.19,20.49,0.092
0.140278,26.2,20.48,0.092
0.141667,26.2,20.48,0.092
0.143056,26.21,20.48,0.092
0.144444,26.2,20.48,0.092
0.145833,26.2,20.47,0.092
0.147222,26.21,20.47,0.092
0.148611,26.22,20.47,0.092
0.150000,26.23,20.47,0.092
0.151389,26.24,20.46,0.092
0.152778,26.24,20.46,0.092
0.154167,26.25,20.46,0.092
0.155556,26.25,20.46,0.092
0.156944,26.25,20.45,0.092
0.158333,26.26,20.45,0.092
0.159722,26.26,20.45,0.092
0.161111,26.26,20.44,0.092
0.162500,26.26,20.44,0.092
0.163889,26.26,20.44,0.092
0.165278,26.27,20.44,0.092
0.166667,26.27,20.43,0.092
0.168056,26.28,20.43,0.092
0.169444,26.29,20.42,0.092
0.170833,26.3,20.42,0.092
0.172222,26.31,20.42,0.092
0.173611,26.32,20.42,0.092
0.175000,26.33,20.42,0.092
0.176389,26.33,20.41,0.092
0.177778,26.33,20.41,0.092
0.179167,26.34,20.41,0.092
0.180556,26.34,20.41,0.092
0.181944,26.34,20.41,0.092
0.183333,26.36,20.4,0.092
0.184722,26.36,20.4,0.092
0.186111,26.37,20.39,0.092
0.187500,26.38,20.39,0.092
0.188889,26.38,20.39,0.092
0.190278,26.37,20.39,0.092
0.191667,26.37,20.38,0.092
0.193056,26.38,20.38,0.092
0.194444,26.39,20.38,0.092
0.195833,26.4,20.38,0.092
0.197222,26.41,20.38,0.092
0.198611,26.41,20.38,0.092
0.200000,26.42,20.37,0.092
0.201389,26.43,20.38,0.092
0.202778,26.44,20.37,0.092
0.204167,26.45,20.37,0.092
0.205556,26.45,20.37,0.092
0.206944,26.45,20.36,0.092
0.208333,26.45,20.36,0.092
0.209722,26.45,20.36,0.092
0.211111,26.46,20.36,0.092
0.212500,26.46,20.36,0.092
0.213889,26.47,20.35,0.092
0.215278,26.47,20.35,0.092
0.216667,26.47,20.35,0.092
0.218056,26.48,20.35,0.092
0.219444,26.48,20.35,0.092
0.220833,26.49,20.35,0.092
0.222222,26.49,20.35,0.092
0.223611,26.5,20.35,0.092
0.225000,26.5,20.34,0.092
0.226389,26.5,20.34,0.092
0.227778,26.51,20.34,0.092
0.229167,26.51,20.34,0.092
0.230556,26.51,20.34,0.092
0.231944,26.51,20.33,0.092
0.233333,26.52,20.33,0.092
0.234722,26.52,20.33,0.092
0.236111,26.52,20.33,0.092
0.237500,26.53,20.33,0.092
0.238889,26.53,20.33,0.092
0.240278,26.53,20.33,0.092
0.241667,26.54,20.32,0.092
0.243056,26.54,20.33,0.092
0.244444,26.54,20.32,0.092
0.245833,26.55,20.32,0.092
0.247222,26.55,20.32,0.092
0.248611,26.55,20.32,0.092
0.250000,26.56,20.32,0.092
0.251389,26.57,20.32,0.092
0.252778,26.57,20.32,0.092
0.254167,26.58,20.32,0.092
0.255556,26.58,20.31,0.092
0.256944,26.58,20.31,0.092
0.258333,26.58,20.3,0.092
0.259722,26.59,20.31,0.092
0.261111,26.59,20.31,0.092
0.262500,26.59,20.31,0.092
0.263889,26.59,20.31,0.092
0.265278,26.59,20.31,0.092
0.266667,26.6,20.31,0.092
0.268056,26.6,20.3,0.092
0.269444,26.6,20.31,0.092
0.270833,26.6,20.31,0.092
0.272222,26.6,20.3,0.092
0.273611,26.6,20.3,0.092
0.275000,26.59,20.3,0.092
0.276389,26.59,20.3,0.092
0.277778,26.6,20.3,0.092
0.279167,26.6,20.3,0.092
0.280556,26.6,20.29,0.092
0.281944,26.59,20.29,0.092
0.283333,26.6,20.3,0.092
0.284722,26.6,20.3,0.092
0.286111,26.6,20.29,0.092
0.287500,26.6,20.29,0.092
0.288889,26.6,20.29,0.092
0.290278,26.6,20.29,0.092
0.291667,26.6,20.29,0.092
0.293056,26.6,20.29,0.092
0.294444,26.6,20.29,0.092
0.295833,26.59,20.29,0.092
0.297222,26.59,20.29,0.092
0.298611,26.6,20.29,0.092
0.300000,26.6,20.28,0.092
0.301389,26.6,20.28,0.092
0.302778,26.6,20.28,0.092
0.304167,26.6,20.28,0.092
0.305556,26.6,20.28,0.092
0.306944,26.6,20.28,0.092
0.308333,26.6,20.28,0.092
0.309722,26.6,20.28,0.092
0.311111,26.6,20.27,0.092
0.312500,26.6,20.28,0.092
0.313889,26.6,20.27,0.092
0.315278,26.6,20.27,0.092
0.316667,26.59,20.27,0.092
0.318056,26.6,20.27,0.092
0.319444,26.6,20.27,0.092
0.320833,26.6,20.27,0.092
0.322222,26.6,20.27,0.092
0.323611,26.61,20.27,0.092
0.325000,26.62,20.27,0.092
0.326389,26.62,20.27,0.092
0.327778,26.63,20.26,0.092
0.329167,26.63,20.26,0.092
0.330556,26.63,20.26,0.092
0.331944,26.62,20.26,0.092
0.333333,26.61,20.26,0.092
0.334722,26.61,20.26,0.092
0.336111,26.61,20.26,0.092
0.337500,26.62,20.26,0.092
0.338889,26.62,20.26,0.092
0.340278,26.62,20.26,0.092
0.341667,26.63,20.26,0.092
0.343056,26.63,20.26,0.092
0.344444,26.63,20.25,0.092
0.345833,26.63,20.25,0.092
0.347222,26.63,20.25,0.092
0.348611,26.63,20.25,0.092
0.350000,26.63,20.25,0.092
0.351389,26.64,20.25,0.092
0.352778,26.64,20.25,0.092
0.354167,26.63,20.25,0.092
0.355556,26.64,20.25,0.092
0.356944,26.64,20.25,0.092
0.358333,26.63,20.25,0.092
0.359722,26.63,20.25,0.092
0.361111,26.63,20.25,0.092
0.362500,26.63,20.25,0.092
0.363889,26.63,20.24,0.092
0.365278,26.64,20.24,0.092
0.366667,26.64,20.24,0.092
0.368056,26.64,20.24,0.092
0.369444,26.64,20.24,0.092
0.370833,26.65,20.24,0.092
0.372222,26.65,20.24,0.092
0.373611,26.66,20.24,0.092
0.375000,26.66,20.24,0.092
0.376389,26.66,20.24,0.092
0.377778,26.66,20.24,0.092
0.379167,26.67,20.24,0.092
0.380556,26.67,20.24,0.092
0.381944,26.66,20.24,0.092
0.383333,26.66,20.24,0.092
0.384722,26.66,20.24,0.092
0.386111,26.66,20.24,0.092
0.387500,26.66,20.24,0.092
0.388889,26.66,20.23,0.092
0.390278,26.66,20.23,0.092
0.391667,26.66,20.23,0.092
0.393056,26.66,20.23,0.092
0.394444,26.66,20.23,0.092
0.395833,26.66,20.23,0.092
0.397222,26.66,20.23,0.092
0.398611,26.67,20.23,0.092
0.400000,26.67,20.23,0.092
0.401389,26.66,20.23,0.092
0.402778,26.66,20.23,0.092
0.404167,26.66,20.23,0.092
0.405556,26.65,20.23,0.092
0.406944,26.65,20.23,0.092
0.408333,26.65,20.22,0.092
0.409722,26.66,20.22,0.092
0.411111,26.66,20.22,0.092
0.412500,26.67,20.22,0.092
0.413889,26.67,20.22,0.092
0.415278,26.67,20.22,0.092
0.416667,26.68,20.22,0.092
0.418056,26.68,20.22,0.092
0.419444,26.68,20.22,0.092
0.420833,26.68,20.22,0.092
0.422222,26.69,20.22,0.092
0.423611,26.69,20.22,0.092
0.425000,26.68,20.22,0.092
0.426389,26.67,20.22,0.092
0.427778,26.68,20.22,0.092
0.429167,26.68,20.21,0.092
0.430556,26.68,20.22,0.092
0.431944,26.69,20.22,0.092
0.433333,26.69,20.22,0.092
0.434722,26.69,20.22,0.092
0.436111,26.69,20.22,0.092
0.437500,26.7,20.22,0.092
0.438889,26.7,20.22,0.092
0.440278,26.7,20.21,0.092
0.441667,26.69,20.21,0.092
0.443056,26.69,20.21,0.092
0.444444,26.7,20.21,0.092
0.445833,26.7,20.21,0.092
0.447222,26.7,20.21,0.092
0.448611,26.7,20.21,0.092
0.450000,26.7,20.21,0.092
0.451389,26.7,20.21,0.092
0.452778,26.7,20.21,0.092
0.454167,26.71,20.21,0.092
0.455556,26.71,20.21,0.092
0.456944,26.71,20.21,0.092
0.458333,26.72,20.21,0.092
0.459722,26.72,20.21,0.092
0.461111,26.72,20.21,0.092
0.462500,26.72,20.21,0.092
0.463889,26.71,20.21,0.092
0.465278,26.71,20.21,0.092
0.466667,26.71,20.21,0.092
0.468056,26.73,20.21,0.092
0.469444,26.73,20.2,0.092
0.470833,26.72,20.21,0.092
0.472222,26.72,20.21,0.092
0.473611,26.72,20.21,0.092
0.475000,26.73,20.21,0.092
0.476389,26.73,20.2,0.092
0.477778,26.74,20.21,0.092
0.479167,26.74,20.21,0.092
0.480556,26.74,20.21,0.092
0.481944,26.74,20.21,0.092
0.483333,26.74,20.21,0.092
0.484722,26.73,20.2,0.092
0.486111,26.73,20.2,0.092
0.487500,26.72,20.2,0.092
0.488889,26.72,20.2,0.092
0.490278,26.72,20.2,0.092
0.491667,26.72,20.21,0.092
0.493056,26.74,20.21,0.092
0.494444,26.74,20.21,0.092
0.495833,26.73,20.21,0.092
0.497222,26.73,20.21,0.092
0.498611,26.73,20.2,0.092
0.500000,26.73,20.2,0.092
0.501389,26.73,20.2,0.092
0.502778,26.72,20.2,0.092
0.504167,26.72,20.2,0.092
0.505556,26.72,20.2,0.092
0.506944,26.73,20.2,0.092
0.508333,26.72,20.2,0.092
0.509722,26.72,20.2,0.092
0.511111,26.72,20.2,0.092
0.512500,26.72,20.2,0.092
0.513889,26.72,20.2,0.092
0.515278,26.71,20.2,0.092
0.516667,26.71,20.2,0.092
0.518056,26.71,20.2,0.092
0.519444,26.7,20.2,0.092
0.520833,26.7,20.2,0.092
0.522222,26.7,20.2,0.092
0.523611,26.71,20.2,0.092
0.525000,26.7,20.2,0.092
0.526389,26.71,20.2,0.092
0.527778,26.71,20.2,0.092
0.529167,26.7,20.2,0.092
0.530556,26.7,20.2,0.092
0.531944,26.71,20.2,0.092
0.533333,26.71,20.2,0.092
0.534722,26.71,20.2,0.092
0.536111,26.71,20.2,0.092
0.537500,26.7,20.19,0.092
0.538889,26.71,20.19,0.092
0.540278,26.71,20.19,0.092
0.541667,26.71,20.2,0.092
0.543056,26.71,20.2,0.092
0.544444,26.71,20.2,0.092
0.545833,26.71,20.2,0.092
0.547222,26.71,20.2,0.092
0.548611,26.71,20.2,0.092
0.550000,26.71,20.2,0.092
0.551389,26.71,20.19,0.092
0.552778,26.7,20.19,0.092
0.554167,26.7,20.2,0.092
0.555556,26.7,20.2,0.092
0.556944,26.7,20.19,0.092
0.558333,26.7,20.19,0.092
0.559722,26.7,20.19,0.092
0.561111,26.7,20.19,0.092
0.562500,26.7,20.19,0.092
0.563889,26.69,20.19,0.092
0.565278,26.69,20.19,0.092
0.566667,26.68,20.19,0.092
0.568056,26.68,20.19,0.092
0.569444,26.68,20.19,0.092
0.570833,26.69,20.19,0.092
0.572222,26.69,20.19,0.092
0.573611,26.69,20.19,0.092
0.575000,26.69,20.19,0.092
0.576389,26.66,20.19,0.092
0.577778,26.51,20.19,0.091
0.579167,26.47,20.19,0.091
0.580556,26.48,20.19,0.091
0.581944,26.51,20.19,0.091
0.583333,26.56,20.19,0.091
0.584722,26.6,20.19,0.091
0.586111,26.62,20.19,0.091
0.587500,26.65,20.19,0.091
0.588889,26.67,20.18,0.091
0.590278,26.68,20.19,0.092
0.591667,26.69,20.18,0.092
0.593056,26.7,20.19,0.092
0.594444,26.71,20.19,0.092
0.595833,26.72,20.18,0.092
0.597222,26.72,20.18,0.092
0.598611,26.71,20.18,0.092
0.600000,26.71,20.18,0.092
0.601389,26.72,20.19,0.092
0.602778,26.72,20.19,0.092
0.604167,26.72,20.18,0.092
0.605556,26.71,20.18,0.092
0.606944,26.71,20.18,0.092
0.608333,26.71,20.18,0.092
0.609722,26.71,20.18,0.092
0.611111,26.71,20.18,0.092
0.612500,26.72,20.18,0.092
0.613889,26.72,20.18,0.092
0.615278,26.72,20.19,0.092
0.616667,26.72,20.18,0.092
0.618056,26.72,20.18,0.092
0.619444,26.72,20.18,0.092
0.620833,26.73,20.18,0.092
0.622222,26.73,20.18,0.092
0.623611,26.72,20.18,0.092
0.625000,26.72,20.18,0.092
0.626389,26.72,20.18,0.092
0.627778,26.72,20.18,0.092
0.629167,26.72,20.18,0.092
0.630556,26.72,20.18,0.092
0.631944,26.72,20.18,0.092
0.633333,26.72,20.18,0.092
0.634722,26.72,20.18,0.092
0.636111,26.73,20.18,0.092
0.637500,26.73,20.18,0.092
0.638889,26.73,20.18,0.092
0.640278,26.73,20.18,0.092
0.641667,26.74,20.18,0.092
0.643056,26.74,20.18,0.092
0.644444,26.73,20.18,0.092
0.645833,26.73,20.18,0.092
0.647222,26.73,20.18,0.092
0.648611,26.73,20.18,0.092
0.650000,26.73,20.18,0.092
0.651389,26.73,20.18,0.092
0.652778,26.73,20.18,0.092
0.654167,26.73,20.18,0.092
0.655556,26.72,20.18,0.092
0.656944,26.73,20.18,0.092
0.658333,26.73,20.18,0.092
0.659722,26.73,20.18,0.092
0.661111,26.72,20.18,0.092
0.662500,26.72,20.17,0.092
0.663889,26.72,20.18,0.092
0.665278,26.71,20.18,0.092
0.666667,26.71,20.18,0.092
0.668056,26.72,20.18,0.092
0.669444,26.72,20.18,0.092
0.670833,26.72,20.18,0.092
0.672222,26.73,20.18,0.092
0.673611,26.73,20.18,0.092
0.675000,26.73,20.18,0.092
0.676389,26.73,20.19,0.092
0.677778,26.72,20.18,0.092
0.679167,26.72,20.18,0.092
0.680556,26.72,20.18,0.092
0.681944,26.72,20.18,0.092
0.683333,26.73,20.18,0.092
0.684722,26.73,20.18,0.092
0.686111,26.74,20.17,0.092
0.687500,26.74,20.17,0.092
0.688889,26.74,20.18,0.092
0.690278,26.74,20.18,0.092
0.691667,26.74,20.18,0.092
0.693056,26.75,20.18,0.092
0.694444,26.75,20.18,0.092
0.695833,26.75,20.18,0.092
0.697222,26.74,20.18,0.092
0.698611,26.74,20.18,0.092
0.700000,26.74,20.18,0.092
0.701389,26.74,20.18,0.092
0.702778,26.74,20.18,0.092
0.704167,26.74,20.17,0.092
0.705556,26.74,20.18,0.092
0.706944,26.74,20.18,0.092
0.708333,26.73,20.18,0.092
0.709722,26.72,20.18,0.092
0.711111,26.71,20.18,0.092
0.712500,26.71,20.18,0.092
0.713889,26.71,20.17,0.092
0.715278,26.71,20.17,0.092
0.716667,26.71,20.18,0.092
0.718056,26.72,20.17,0.092
0.719444,26.72,20.18,0.092
0.720833,26.72,20.18,0.092
0.722222,26.72,20.18,0.092
0.723611,26.72,20.18,0.092
0.725000,26.72,20.18,0.092
0.726389,26.73,20.18,0.092
0.727778,26.73,20.18,0.092
0.729167,26.73,20.18,0.092
0.730556,26.73,20.17,0.092
0.731944,26.72,20.18,0.092
0.733333,26.72,20.18,0.092
0.734722,26.72,20.18,0.092
0.736111,26.72,20.18,0.092
0.737500,26.72,20.18,0.092
0.738889,26.72,20.18,0.092
0.740278,26.72,20.17,0.092
0.741667,26.71,20.17,0.092
0.743056,26.71,20.18,0.092
0.744444,26.71,20.18,0.092
0.745833,26.72,20.17,0.092
0.747222,26.72,20.18,0.092
0.748611,26.72,20.18,0.092
0.750000,26.72,20.18,0.092
0.751389,26.72,20.18,0.092
0.752778,26.72,20.18,0.092
0.754167,26.71,20.18,0.092
0.755556,26.73,20.17,0.092
0.756944,26.73,20.17,0.092
0.758333,26.73,20.18,0.092
0.759722,26.72,20.17,0.092
0.761111,26.72,20.17,0.092
0.762500,26.72,20.17,0.092
0.763889,26.72,20.17,0.092
0.765278,26.73,20.17,0.092
0.766667,26.73,20.17,0.092
0.768056,26.74,20.17,0.092
0.769444,26.74,20.17,0.092
0.770833,26.74,20.17,0.092
0.772222,26.74,20.18,0.092
0.773611,26.74,20.18,0.092
0.775000,26.74,20.18,0.092
0.776389,26.73,20.17,0.092
0.777778,26.74,20.17,0.092
0.779167,26.74,20.17,0.092
0.780556,26.74,20.17,0.092
0.781944,26.74,20.17,0.092
0.783333,26.74,20.17,0.092
0.784722,26.74,20.17,0.092
0.786111,26.74,20.17,0.092
0.787500,26.74,20.17,0.092
0.788889,26.74,20.17,0.092
0.790278,26.74,20.17,0.092
0.791667,26.74,20.17,0.092
0.793056,26.74,20.17,0.092
0.794444,26.74,20.17,0.092
0.795833,26.75,20.17,0.092
0.797222,26.74,20.17,0.092
0.798611,26.74,20.17,0.092
0.800000,26.75,20.17,0.092
0.801389,26.75,20.17,0.092
0.802778,26.75,20.17,0.092
0.804167,26.74,20.18,0.092
0.805556,26.74,20.18,0.092
0.806944,26.75,20.17,0.092
0.808333,26.75,20.18,0.092
0.809722,26.75,20.17,0.092
0.811111,26.75,20.17,0.092
0.812500,26.75,20.17,0.092
0.813889,26.75,20.17,0.092
0.815278,26.75,20.17,0.092
0.816667,26.75,20.17,0.092
0.818056,26.75,20.17,0.092
0.819444,26.75,20.17,0.092
0.820833,26.75,20.18,0.092
0.822222,26.75,20.17,0.092
0.823611,26.75,20.17,0.092
0.825000,26.74,20.17,0.092
0.826389,26.74,20.17,0.092
0.827778,26.73,20.17,0.092
0.829167,26.72,20.17,0.092
0.830556,26.72,20.17,0.092
0.831944,26.71,20.17,0.092
0.833333,26.71,20.18,0.092
0.834722,26.7,20.17,0.092
0.836111,26.7,20.17,0.092
0.837500,26.7,20.17,0.092
0.838889,26.7,20.17,0.092
0.840278,26.69,20.17,0.092
0.841667,26.7,20.17,0.092
0.843056,26.7,20.17,0.092
0.844444,26.7,20.17,0.092
0.845833,26.69,20.17,0.091
0.847222,26.7,20.17,0.091
0.848611,26.7,20.17,0.092
0.850000,26.7,20.17,0.092
0.851389,26.7,20.17,0.092
0.852778,26.71,20.17,0.092
0.854167,26.71,20.17,0.092
0.855556,26.7,20.17,0.092
0.856944,26.7,20.17,0.092
0.858333,26.7,20.17,0.092
0.859722,26.7,20.17,0.092
0.861111,26.7,20.17,0.092
0.862500,26.7,20.16,0.091
0.863889,26.71,20.17,0.092
0.865278,26.71,20.17,0.092
0.866667,26.71,20.17,0.092
0.868056,26.71,20.17,0.092
0.869444,26.72,20.17,0.092
0.870833,26.72,20.17,0.092
0.872222,26.72,20.17,0.092
0.873611,26.71,20.16,0.092
0.875000,26.71,20.17,0.092
0.876389,26.71,20.17,0.092
0.877778,26.7,20.16,0.091
0.879167,26.71,20.16,0.092
0.880556,26.71,20.16,0.092
0.881944,26.71,20.17,0.092
0.883333,26.71,20.17,0.092
0.884722,26.71,20.16,0.092
0.886111,26.7,20.16,0.091
0.887500,26.7,20.16,0.091
0.888889,26.7,20.16,0.091
0.890278,26.7,20.16,0.091
0.891667,26.7,20.16,0.091
0.893056,26.7,20.16,0.091
0.894444,26.7,20.16,0.091
0.895833,26.71,20.16,0.091
0.897222,26.71,20.16,0.091
0.898611,26.7,20.16,0.092
0.900000,26.7,20.16,0.091
0.901389,26.7,20.16,0.091
0.902778,26.7,20.17,0.091
0.904167,26.7,20.16,0.091
0.905556,26.69,20.16,0.091
0.906944,26.69,20.16,0.091
0.908333,26.7,20.16,0.091
0.909722,26.7,20.16,0.091
0.911111,26.7,20.16,0.091
0.912500,26.7,20.16,0.091
0.913889,26.7,20.16,0.091
0.915278,26.7,20.16,0.091
0.916667,26.7,20.16,0.091
0.918056,26.69,20.16,0.091
0.919444,26.7,20.16,0.091
0.920833,26.7,20.16,0.091
0.922222,26.7,20.16,0.091
0.923611,26.7,20.16,0.091
0.925000,26.7,20.16,0.091
0.926389,26.7,20.16,0.091
0.927778,26.7,20.16,0.091
0.929167,26.7,20.16,0.091
0.930556,26.71,20.16,0.091
0.931944,26.71,20.16,0.091
0.933333,26.71,20.16,0.092
0.934722,26.72,20.16,0.092
0.936111,26.71,20.15,0.091
0.937500,26.72,20.15,0.091
0.938889,26.73,20.15,0.092
0.940278,26.73,20.15,0.092
0.941667,26.73,20.15,0.092
0.943056,26.74,20.15,0.092
0.944444,26.74,20.16,0.092
0.945833,26.75,20.16,0.092
0.947222,26.75,20.15,0.092
0.948611,26.75,20.15,0.092
0.950000,26.75,20.16,0.092
0.951389,26.75,20.15,0.092
0.952778,26.75,20.15,0.092
0.954167,26.75,20.15,0.092
0.955556,26.75,20.15,0.092
0.956944,26.74,20.15,0.092
0.958333,26.74,20.16,0.092
0.959722,26.74,20.16,0.092
0.961111,26.73,20.16,0.092
0.962500,26.73,20.16,0.092
0.963889,26.73,20.15,0.092
0.965278,26.73,20.15,0.092
0.966667,26.73,20.15,0.092
0.968056,26.73,20.15,0.092
0.969444,26.73,20.15,0.092
0.970833,26.72,20.15,0.092
0.972222,26.72,20.16,0.092
0.973611,26.72,20.16,0.092
0.975000,26.72,20.16,0.092
0.976389,26.73,20.16,0.092
0.977778,26.73,20.15,0.092
0.979167,26.73,20.16,0.092
0.980556,26.73,20.15,0.092
0.981944,26.73,20.15,0.092
0.983333,26.73,20.15,0.092
0.984722,26.73,20.15,0.092
0.986111,25.88,20.16,0.089
0.987500,22.5,20.15,0.077
0.988889,18.59,20.14,0.064
0.990278,14.96,20.14,0.051
0.991667,12.31,20.14,0.042
0.993056,10.26,20.14,0.035
0.994444,8.57,20.13,0.029
0.995833,7.37,20.13,0.025
0.997222,6.42,20.13,0.022
0.998611,5.58,20.13,0.019
1.000000,4.94,20.13,0.017
1.001389,4.41,20.13,0.015
1.002778,3.95,20.13,0.014
1.004167,3.6,20.13,0.012
1.005556,3.3,20.13,0.011
1.006944,3.05,20.13,0.01
1.008333,2.82,20.13,0.01
1.009722,2.64,20.13,0.009
1.011111,2.48,20.13,0.008
1.012500,2.32,20.13,0.008
1.013889,2.2,20.13,0.008
1.015278,2.1,20.14,0.007
1.016667,2.02,20.13,0.007
1.018056,1.95,20.13,0.007
1.019444,1.88,20.13,0.006
1.020833,1.82,20.13,0.006
1.022222,1.74,20.13,0.006
1.023611,1.68,20.14,0.006
1.025000,1.62,20.14,0.006
1.026389,1.56,20.14,0.005
1.027778,1.51,20.14,0.005
1.029167,1.47,20.14,0.005
1.030556,1.42,20.14,0.005
1.031944,1.37,20.14,0.005
1.033333,1.34,20.14,0.005
1.034722,1.3,20.14,0.004
1.036111,1.26,20.14,0.004
1.037500,1.22,20.14,0.004
1.038889,1.19,20.14,0.004
1.040278,1.16,20.14,0.004
1.041667,1.13,20.14,0.004
1.043056,1.1,20.14,0.004
1.044444,1.07,20.14,0.004
1.045833,1.06,20.14,0.004
1.047222,1.05,20.14,0.004
1.048611,1.04,20.15,0.004
1.050000,1.03,20.14,0.004
1.051389,1.01,20.15,0.003
1.052778,0.99,20.15,0.003
1.054167,0.97,20.14,0.003
1.055556,0.95,20.15,0.003
1.056944,0.93,20.15,0.003
1.058333,0.91,20.15,0.003
1.059722,0.88,20.15,0.003
1.061111,0.87,20.15,0.003
1.062500,0.85,20.15,0.003
1.063889,0.83,20.15,0.003
1.065278,0.82,20.15,0.003
1.066667,0.8,20.15,0.003
1.068056,0.78,20.15,0.003
1.069444,0.77,20.15,0.003
1.070833,0.76,20.15,0.003
1.072222,0.74,20.15,0.003
1.073611,0.73,20.15,0.002
1.075000,0.72,20.15,0.002
1.076389,0.7,20.15,0.002
1.077778,0.69,20.15,0.002
1.079167,0.68,20.15,0.002
1.080556,0.67,20.15,0.002
1.081944,0.65,20.15,0.002
1.083333,0.64,20.15,0.002
1.084722,0.63,20.15,0.002
1.086111,0.62,20.15,0.002
1.087500,0.61,20.15,0.002
1.088889,0.6,20.15,0.002
1.090278,0.6,20.15,0.002
1.091667,0.6,20.16,0.002
1.093056,0.6,20.16,0.002
1.094444,0.6,20.15,0.002
1.095833,0.59,20.16,0.002
1.097222,0.58,20.16,0.002
1.098611,0.57,20.16,0.002
1.100000,0.56,20.15,0.002
1.101389,0.55,20.15,0.002
1.102778,0.54,20.16,0.002
1.104167,0.53,20.15,0.002
1.105556,0.52,20.16,0.002
1.106944,0.51,20.16,0.002
1.108333,0.5,20.16,0.002
1.109722,0.5,20.15,0.002
1.111111,0.49,20.15,0.002
1.112500,0.48,20.16,0.002
1.113889,0.47,20.16,0.002
1.115278,0.46,20.16,0.002
1.116667,0.46,20.16,0.002
1.118056,0.45,20.16,0.002
1.119444,0.44,20.16,0.002
1.120833,0.43,20.16,0.001
1.122222,0.43,20.16,0.001
1.123611,0.42,20.16,0.001
1.125000,0.41,20.16,0.001
1.126389,0.41,20.16,0.001
1.127778,0.4,20.16,0.001
1.129167,0.39,20.16,0.001
1.130556,0.39,20.16,0.001
1.131944,0.38,20.15,0.001
1.133333,0.38,20.16,0.001
1.134722,0.37,20.16,0.001
1.136111,0.37,20.16,0.001
1.137500,0.36,20.16,0.001
